dt,AvgTemp,,State,Country
2013,18.96,AL,Alabama,United States
2013,-2.06,AK,Alaska,United States
2013,17.81,AZ,Arizona,United States
2013,17.51,AR,Arkansas,United States
2013,16.85,CA,California,United States
2013,9.40,CO,Colorado,United States
2013,11.60,CT,Connecticut,United States
2013,14.04,DL,Delaware,United States
2013,14.19,DOC,District Of Columbia,United States
2013,23.03,FL,Florida,United States
2013,19.36,GA,Georgia,United States
2013,22.52,HI,Hawaii,United States
2013,8.54,ID,Idaho,United States
2013,13.01,IL,Illinois,United States
2013,13.06,IN,Indiana,United States
2013,11.11,IA,Iowa,United States
2013,14.63,KS,Kansas,United States
2013,14.63,KY,Kentucky,United States
2013,20.96,LA,Louisiana,United States
2013,7.51,ME,Maine,United States
2013,14.27,MD,Maryland,United States
2013,10.53,MA,Massachusetts,United States
2013,8.73,MI,Michigan,United States
2013,6.85,MN,Minnesota,United States
2013,19.44,MS,Mississippi,United States
2013,14.41,MO,Missouri,United States
2013,8.46,MT,Montana,United States
2013,11.81,NE,Nebraska,United States
2013,12.63,NV,Nevada,United States
2013,8.77,NH,New Hampshire,United States
2013,13.04,NF,New Jersey,United States
2013,14.26,NM,New Mexico,United States
2013,9.91,NY,New York,United States
2013,16.54,NC,North Carolina,United States
2013,6.93,ND,North Dakota,United States
2013,12.58,OH,Ohio,United States
2013,17.52,OK,Oklahoma,United States
2013,10.76,OR,Oregon,United States
2013,11.54,PA,Pennsylvania,United States
2013,11.57,RI,Rhode Island,United States
2013,18.74,SC,South Carolina,United States
2013,9.77,SD,South Dakota,United States
2013,15.91,TN,Tennessee,United States
2013,20.43,TX,Texas,United States
2013,10.98,UT,Utah,United States
2013,8.50,VT,Vermont,United States
2013,14.73,VA,Virginia,United States
2013,10.57,WA,Washington,United States
2013,13.03,WV,West Virginia,United States
2013,8.09,WI,Wisconsin,United States
2013,8.04,WY,Wyoming,United States
