dt,AverageTemperature,Code,State,Country
1850,17.27,AL,Alabama,United States
1850,-5.79,AK,Alaska,United States
1850,14.86,AZ,Arizona,United States
1850,15.40,AR,Arkansas,United States
1850,13.72,CA,California,United States
1850,6.40,CO,Colorado,United States
1850,8.46,CT,Connecticut,United States
1850,11.63,DL,Delaware,United States
1850,11.77,DOC,District Of Columbia,United States
1850,21.83,FL,Florida,United States
1850,17.72,GA,Georgia,United States
1850,4.98,ID,Idaho,United States
1850,10.61,IL,Illinois,United States
1850,10.83,IN,Indiana,United States
1850,8.30,IA,Iowa,United States
1850,11.68,KS,Kansas,United States
1850,13.02,KY,Kentucky,United States
1850,19.16,LA,Louisiana,United States
1850,3.80,ME,Maine,United States
1850,11.97,MD,Maryland,United States
1850,7.02,MA,Massachusetts,United States
1850,6.38,MI,Michigan,United States
1850,4.37,MN,Minnesota,United States
1850,17.66,MS,Mississippi,United States
1850,11.94,MO,Missouri,United States
1850,4.69,MT,Montana,United States
1850,8.57,NE,Nebraska,United States
1850,9.27,NV,Nevada,United States
1850,4.97,NH,New Hampshire,United States
1850,10.27,NF,New Jersey,United States
1850,11.34,NM,New Mexico,United States
1850,6.66,NY,New York,United States
1850,14.74,NC,North Carolina,United States
1850,3.98,ND,North Dakota,United States
1850,10.36,OH,Ohio,United States
1850,14.90,OK,Oklahoma,United States
1850,7.71,OR,Oregon,United States
1850,8.88,PA,Pennsylvania,United States
1850,8.41,RI,Rhode Island,United States
1850,17.09,SC,South Carolina,United States
1850,6.63,SD,South Dakota,United States
1850,14.10,TN,Tennessee,United States
1850,17.80,TX,Texas,United States
1850,7.96,UT,Utah,United States
1850,4.74,VT,Vermont,United States
1850,12.74,VA,Virginia,United States
1850,7.21,WA,Washington,United States
1850,10.97,WV,West Virginia,United States
1850,5.78,WI,Wisconsin,United States
1850,4.61,WY,Wyoming,United States
